contribution_title	aut_id	aut_viaf	aut_lastn_r	aut_firstn_r	aut_lastn_e	aut_firstn_e	journal	year	issue	start_page	end_page	pagetotal
Новое радио. [Рассказ.] Пер. с англ: Т. Литвинова	2468135	2468135	Чивер	Джон			Знамя	1961	5	119	126	8
Идущие впереди. [О соц. соревновании бригад и ударников коммунистич.труда Кемеров. обл. в честь XXII съезда КПСС]	6129		Разумов	Е	Razumov	E	Знамя	1961	5	127	136	10
В Боливии. [Путевые впечатления]	47677382	47677382	Соболев	Леонид	Sobolev	Leonid	Знамя	1961	5	137	187	51
Асуанский гидроузел. [Об участии советских специалистов в строительствевысотной плотины в ОАР]. (Записки советского инженера)	4074		Комзин	И	Komzin	I	Знамя	1961	5	188	200	13
Ради жизни на земле. [О творчестве А. Твардовского]	49384475	49384475	Маршак	С	Marshak	S	Знамя	1961	5	201	213	13
Белинский и Лермонтов	1,90E+20	1,90E+20	Ермилова	Л	Ermilova	L	Знамя	1961	5	216	224	9
На берегу Полоты. (Поэма встречи)	5010		Куренев	Григорий	Kurenev	Grigorii	Знамя	1961	6	3	17	15
«Мертвые сраму не имут». Повесть	66628424	66628424	Бакланов	Григорий	Baklanov	Grigorii	Знамя	1961	6	18	59	42
На Ленинских горах. Рассказ	54947392	54947392	Щипачев	Степан			Знамя	1961	6	60	62	3
Новые стихи: Атлантик-бар. ? Фоли-Бержер. ? Каучуковыедеревья в Либерии. ? Изваяния в джунглях. ? Комиссары. ? Град в Харькове. ? ?Налыжах празднично я бегаю...? ? Женщинам	79846190	79846190	Евтушенко	Евгений	Evtushenko	Evgenii	Знамя	1961	6	63	71	9
Сердце Мединэ. Рассказ. Пер. с азербайдж: Б. Турганов	70100262	70100262	Ибрагимов	Мирза	Ibragimov	Mirza	Знамя	1961	6	72	88	17
Страницы воспоминаний: О создателе «Железного потока». — ОВсеволоде Вишневском. — Палатка над Выборгом. [О В. Саянове]. — Небывалый ковер.[О П. Павленко]	108411381	108411381	Тихонов	Николай	Tikhonov	Nikolai	Знамя	1961	6	89	115	27
Шесть футов родной земли. [Рассказ писательницы из Юж.-Африк. Союза].Пер. с англ: В. Жак	86692340	86692340	Гордимер	Н	Gordimer	N	Знамя	1961	6	116	123	8
Отвечаем делом! [О колхозе им. Ленина. Вост.-Казахст. обл.] (Два письма изКазахстана)	4051		Китапбаев	Б	Kitapbaev	B	Знамя	1961	6	124	129	6
Доброе имя. [Из рассказов о людях семилетки]	28546720	28546720	Соколова	Наталья	Sokolova	Natal'ia	Знамя	1961	6	130	134	5
Поездка на Кубу. [Путевые очерки]	58051538	58051538	Смирнов	С С	Smirnov	S S	Знамя	1961	6	135	178	44
Урок и предупреждение. [К выходу в свет 7-томного сборника материалов?Нюрнбергский процесс над главными немецкими военными преступниками?]	14922452	14922452	Гус	М	Gus	M	Знамя	1961	6	179	183	5
Ради жизни на земле. [О творчестве А. Твардовского]	49384475	49384475	Маршак	С	Marshak	S	Знамя	1961	6	184	200	17
Активный человек. [Образ современника в произведенияхсоветских писателей последних лет]	35758241	35758241	Панков	Виктор	Pankov	Viktor	Знамя	1961	6	201	215	15
Люди над пропастью. [О романе америк. писателя Дж. Д. Сэлинджера «Надпропастью во ржи»]	32384151	32384151	Книпович	Е	Knipovich	E	Знамя	1961	6	215	224	10
Пути-дороги. Стихи: На Делийском базаре. — О дружбе. — Домой!	110294642	110294642	Сурков	Алексей	Surkov	Aleksei	Знамя	1961	7	3	6	4
Страницы воспоминаний: Туркмения, 1930 год. [О В. Луговском]	108411381	108411381	Тихонов	Николай	Tikhonov	Nikolai	Знамя	1961	7	54	74	21
В мастерской художника. Этюд	54947392	54947392	Щипачев	Степан			Знамя	1961	7	75	78	4
Из книги «Слово». Стихи: «Стихам своим служу...» — Крестились готы... —Овощехранилище. — Жилец напротив. — Учитель истории. — Все вынесу и всепереживу... — Возраст	106977576	106977576	Винокуров	Е	Vinokurov	E	Знамя	1961	7	79	84	6
Рассказы: Лесная история. — Среди полей	67536295	67536295	Велембовская	И	Velembovskaia	I	Знамя	1961	7	85	112	28
Судок. [Новелла]. Пер. с итал: Л. Вершинин	4014		Кальвино	Итало	Kal'vino	Italo	Знамя	1961	7	113	115	3
Смысл жизни. [О строгальщике Минского завода автоматич. линий Л. И.Потаповиче. Очерк]	620144647709491364330	620144647709491364330	Кокин	Л	Kokin	L	Знамя	1961	7	116	131	16
Поездка на Кубу. [Путевые очерки]	58051538	58051538	Смирнов	С С	Smirnov	S S	Знамя	1961	7	132	177	46
Партия и литература. [К опубликованию статьи Н. С. Хрущева «К новым успехамлитературы и искусства». Ред. статья]	9999						Знамя	1961	7	178	184	7
Подробности жизни. (Критич. размышления)	264190361	264190361	Светов	Ф	Svetov	F	Знамя	1961	7	185	203	19
Бессмертие. (К 70-летию И. Р. Бехера)	44411325	44411325	Дымшиц	А	Dymshits	A	Знамя	1961	7	204	211	8
Путешествие в жизнь [Творческий путь писательницы Н. А. Емельяновой]	3029		Дмитриев	С	Dmitriev	S	Знамя	1961	7	217	220	4
Надежное слово. [О творчестве поэтессы Л. Татьяничевой]	16082335	16082335	Синельников	М	Sinel'nikov	M	Знамя	1961	7	221	224	4
Девчата. Повесть	85405073	85405073	Бедный	Борис	Bednyi	Boris	Знамя	1961	7	7	53	1
Казахстанская тетрадь. Стихи: О скорости. — Земля. — Погода. —Баллада о тракторе. — Верблюд. — Новоселы. — «Вспоминаю другие вокзалы...» —Фламинго	74780736	74780736	Куняев	Станислав	Kuniaev	Stanislav	Знамя	1961	8	3	8	6
На земле Марокко. Рассказы: У порога страны. — Мимозы. — На дороге.— Ремесло. — Нищий. — Покупка велосипеда. — О просторе. — Волюбилис — мертвыйгород. — В берберском жилище. — На верблюжьем торжище. — Две встречи. — Содом иГоморра. — Шофер Хуан. — Плата за вход. — Солдат. — Козы. — Антуан. — Кумушки.— В пальмовой роще	107026053	107026053	Нагибин	Юрий	Nagibin	Iurii	Знамя	1961	8	9	46	38
Девчата. Повесть	85405073	85405073	Бедный	Борис	Bednyi	Boris	Знамя	1961	8	47	90	44
Лирические стихи: Мазурка Шопена. — «Мы соблюдаем правилазимы...» — Бог. — Август. — Автомат с газированной водой	110689177	110689177	Ахмадулина	Белла	Akhmadulina	Bella	Знамя	1961	8	91	94	4
Гениальная идея мистера Бэдда. [Рассказ]. Пер. с англ: Р. Райт-Ковалева	8034		Сэйерс	Дороти	Seiers	Doroti	Знамя	1961	8	95	103	9
